number,value,params_SA_kernel_size,params_SE_reduction_ratio,params_base,params_beta1,params_beta2,params_cardinality,params_dropout_rate,params_lr,params_wd
0,0.21,7,16,2,0.9851661599995136,0.9952342985759653,32,0.4547208999289327,1.48519943622279e-05,6.619574115173438e-05
1,0.232,3,32,2,0.8270906708919284,0.9857881041512715,64,0.44189433144498835,2.2450878795710406e-05,3.210144970696454e-05
2,0.284,7,16,4,0.9518851430752335,0.9871824554944533,32,0.31596140471413386,3.1479279493012225e-05,2.6419153420894395e-06
3,0.218,3,32,4,0.9479033676358738,0.9910579138762169,32,0.44630357881621674,1.5389633305309515e-05,3.972098550169919e-06
4,0.438,9,32,4,0.9187204927098128,0.9944539734102938,32,0.3100840205172376,0.00025160325385504575,1.5938848560728995e-06
5,0.336,5,16,4,0.9763957647721163,0.9980611601395496,64,0.47761309890473225,0.00014310329662362405,5.1224512281600864e-05
6,0.414,9,8,4,0.8410447223845964,0.9848563692849696,32,0.37569286439841837,0.00014001802106750045,4.158773795671989e-06
7,0.234,9,16,8,0.8490548417640702,0.9874823416420069,16,0.5596370102907913,2.7015969827173107e-05,1.4528676816288775e-05
8,0.436,5,32,2,0.8932047310233793,0.9903642047163744,32,0.3131516104532289,0.0006008277001189119,4.513650801519504e-06
9,0.28,3,8,8,0.8984674818689765,0.987180410516125,32,0.5321486277189215,1.6766072336082167e-05,1.540094356631576e-06
10,0.464,9,32,4,0.899383271639024,0.9800183335325927,16,0.3753629187552898,0.0006732374252630416,1.112331314653201e-06
11,0.44,9,32,4,0.8962331315498497,0.9822302140158066,16,0.3692528679890828,0.0009496816159137772,1.2879080270723927e-06
12,0.426,9,32,4,0.8746160804818943,0.980062960350638,16,0.37726586272452045,0.0006958700855320867,1.0939421467934865e-06
13,0.416,9,32,4,0.8008712082520337,0.981233085017106,16,0.3864633672023808,0.0009203316829036229,7.668197279137638e-06
14,0.442,9,32,4,0.9171488478320221,0.9827642302608068,16,0.4080329996734021,0.0003710598389716678,2.298360813532772e-06
