epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.00866,0.80052,1.43312,1.17329,0.99002,0.99197,0.9949,0.90437,0.4344,0.62241,0.81888,0.000654321,0.000654321,0.000654321
2,7.20936,0.71102,0.71902,1.12094,0.95549,1,0.99252,0.78676,0.68922,1.32272,0.94132,0.00130791,0.00130791,0.00130791
3,10.2645,0.7572,0.69696,1.13344,0.98303,1,0.99475,0.83957,0.56347,0.78584,0.84993,0.0019483,0.0019483,0.0019483
4,13.4442,0.71265,0.62946,1.11211,0.97847,0.99,0.99192,0.84446,0.63451,0.64966,0.91966,0.0019406,0.0019406,0.0019406
5,16.385,0.68382,0.59268,1.10872,0.99002,0.99164,0.99485,0.74259,0.94416,0.78362,1.17049,0.0019208,0.0019208,0.0019208
6,19.3853,0.6825,0.58331,1.10264,0.97954,1,0.9944,0.86193,0.6046,0.68668,0.93696,0.001901,0.001901,0.001901
7,22.5768,0.65793,0.57499,1.09558,1,0.99887,0.995,0.88091,0.48909,0.58094,0.84989,0.0018812,0.0018812,0.0018812
8,25.7471,0.62588,0.52634,1.08204,0.99949,1,0.995,0.91732,0.41449,0.3796,0.80739,0.0018614,0.0018614,0.0018614
9,28.8165,0.59522,0.50549,1.0597,0.98941,1,0.995,0.8775,0.45161,0.51452,0.80855,0.0018416,0.0018416,0.0018416
10,31.9155,0.63535,0.50029,1.07923,0.99588,0.995,0.995,0.86253,0.46642,0.42718,0.84253,0.0018218,0.0018218,0.0018218
11,34.9681,0.59239,0.48106,1.06493,0.99944,1,0.995,0.90369,0.44214,0.38687,0.80588,0.001802,0.001802,0.001802
12,38.0319,0.59136,0.47462,1.05974,0.99913,1,0.995,0.92293,0.42385,0.3788,0.80821,0.0017822,0.0017822,0.0017822
13,41.1442,0.58763,0.46055,1.06878,0.9978,1,0.995,0.90204,0.4379,0.34267,0.81128,0.0017624,0.0017624,0.0017624
14,44.2921,0.58674,0.45317,1.06268,0.99968,1,0.995,0.928,0.39848,0.29513,0.79918,0.0017426,0.0017426,0.0017426
