epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.12303,0.91375,1.49901,1.24158,0.92195,0.80339,0.92234,0.68116,0.88382,1.14219,1.05032,0.000657277,0.000657277,0.000657277
2,9.51357,0.87489,0.86556,1.19653,0.71934,0.66441,0.71392,0.41664,1.41652,1.5154,1.47283,0.00131084,0.00131084,0.00131084
3,13.8193,0.83411,0.79807,1.17349,0.84294,0.83687,0.91589,0.67103,0.97638,0.99999,1.11989,0.0019512,0.0019512,0.0019512
4,18.0787,0.85081,0.78158,1.17437,0.80552,0.85763,0.89306,0.68117,0.84684,1.00786,1.01151,0.0019406,0.0019406,0.0019406
5,22.232,0.83982,0.75277,1.17947,0.97041,0.88923,0.97491,0.78686,0.71313,0.70979,0.941,0.0019208,0.0019208,0.0019208
6,26.4837,0.78065,0.6846,1.14872,0.96089,0.91604,0.97056,0.81443,0.67653,0.60474,0.92355,0.001901,0.001901,0.001901
7,30.6886,0.74911,0.66407,1.13874,0.96875,0.94589,0.97946,0.83822,0.58558,0.55699,0.86443,0.0018812,0.0018812,0.0018812
8,34.9143,0.74003,0.65352,1.13502,0.98469,0.94237,0.98066,0.82063,0.61567,0.55035,0.85706,0.0018614,0.0018614,0.0018614
9,39.106,0.73533,0.64288,1.12839,0.94166,0.90508,0.96497,0.75293,0.79649,0.69296,0.97418,0.0018416,0.0018416,0.0018416
10,43.3401,0.71578,0.61293,1.11874,0.98919,0.9302,0.98115,0.85068,0.59791,0.55504,0.85978,0.0018218,0.0018218,0.0018218
11,47.6438,0.7028,0.60546,1.11849,0.97566,0.93898,0.98609,0.84058,0.62565,0.61052,0.89207,0.001802,0.001802,0.001802
12,51.8789,0.70743,0.59769,1.12214,0.97868,0.94576,0.98111,0.86126,0.53724,0.55011,0.84266,0.0017822,0.0017822,0.0017822
13,56.1028,0.69326,0.59781,1.123,0.98455,0.93559,0.9819,0.83403,0.57564,0.55852,0.8692,0.0017624,0.0017624,0.0017624
14,60.3851,0.68359,0.5822,1.10969,0.98385,0.93559,0.98049,0.86239,0.54123,0.5016,0.83574,0.0017426,0.0017426,0.0017426
