Epoch,Cost,Train_acc,Valid_acc
1,1.69234881,0.431859503,0.619183002
2,1.219618036,0.570538857,0.662875954
3,0.940980598,0.664616456,0.707017806
4,0.80276945,0.717264322,0.7683675
5,0.705301081,0.751847124,0.766272632
6,0.62965293,0.776410971,0.771509801
7,0.577579335,0.795597849,0.79215921
8,0.544475961,0.808750145,0.825078558
9,0.504770887,0.824919732,0.821487356
10,0.463079721,0.836215233,0.822834057
11,0.307710476,0.890681212,0.871464911
12,0.271709431,0.904955321,0.873859045
13,0.254717182,0.910757804,0.880592548
14,0.244776335,0.913001431,0.880442915
15,0.234472704,0.917566052,0.885380817
16,0.219154583,0.922633554,0.886278617
17,0.215266097,0.924103516,0.888972019
18,0.20085003,0.927817106,0.889720186
19,0.19768499,0.930176782,0.889121652
20,0.187434006,0.934664036,0.893760287
21,0.167604319,0.943058296,0.898847823
22,0.157474011,0.945417972,0.90049379
23,0.157759156,0.944837724,0.899446356
24,0.154973943,0.946191637,0.901541224
25,0.150742427,0.94971181,0.900793057
